SAl,SAz,DNI,DHI,GHI
51.08,129.17,85024,20020,94256
59.31,151.27,89393,19192,99552
62.38,181.63,91654,18197,96541
58.69,211.41,90547,16719,84815
50.11,232.67,85623,14640,67043
39.1,246.99,75403,11765,45652
26.99,257.5,48654,7787,23223
29,102.63,78452,13101,50784
41.11,113.34,87384,15769,71898
52.08,128.2,90362,17454,88104
60.45,150.72,92885,18318,100031
63.52,182.19,95460,18306,103827
59.62,212.81,95425,17539,98555
50.8,234.16,92877,16190,86086
39.64,248.34,87340,14254,68686
27.45,258.71,75952,11772,46778
29.27,102.31,76912,13072,50509
41.41,113,85792,15816,72623
52.42,127.87,88713,17500,88550
60.83,150.53,91237,18348,98791
63.9,182.38,93102,18922,101863
59.93,213.29,91709,19446,97399
51.03,234.66,86496,19574,86759
39.81,248.79,78617,17972,67632
27.6,259.12,67779,14203,44410
29.54,101.99,77063,13194,50964
41.7,112.66,85941,15962,73161
52.74,127.53,88487,17622,89133
61.2,150.33,91060,18411,99345
64.28,182.57,94124,18371,103085
60.23,213.77,94566,17539,98319
51.25,235.17,92137,16190,86389
39.98,249.24,86764,14254,68775
27.74,259.52,76041,11805,46918
29.81,101.67,76609,13229,51043
41.99,112.32,85123,15939,72534
53.07,127.19,87356,17636,88139
61.58,150.13,87275,19332,96941
64.65,182.77,83930,21965,96782
60.53,214.27,80230,23409,91398
51.47,235.67,78209,21776,82459
40.15,249.69,74587,18336,65503
27.89,259.92,68849,13725,44578
30.07,101.35,76407,13335,51283
42.27,111.97,84577,16046,72828
53.39,126.85,86033,17968,87485
61.95,149.92,82828,21068,94120
65.03,182.97,77161,25479,93884
60.82,214.76,72195,27805,88438
51.68,236.18,70275,26505,79253
40.32,250.14,67748,21788,65265
28.03,260.32,56989,16412,45040
30.84,100.39,74794,13902,51574
43.11,110.93,81618,16961,72386
54.34,125.79,82325,19381,86909
63.04,149.27,79707,22506,93679
66.13,183.59,77535,24933,94182
61.69,216.28,77319,25555,91546
52.32,237.71,77366,23438,83511
40.81,251.48,75404,18967,66744
28.45,261.52,66402,14430,44985
31.1,100.07,75799,14197,52417
43.38,110.58,81757,17627,73067
54.65,125.43,81206,20479,87212
63.4,149.04,78948,23627,93866
66.5,183.81,76287,27138,94874
61.97,216.8,70064,29693,89088
52.52,238.22,55879,31173,74876
40.98,251.93,36338,29970,54563
28.59,261.91,20859,24136,33854
31.35,99.75,74292,14339,53272
43.65,110.22,80624,17308,72681
54.96,125.06,77981,21201,86655
63.76,148.81,71735,26845,92344
66.86,184.02,67448,31764,93096
62.25,217.32,71021,30828,92061
52.72,238.73,79620,23543,85685
41.13,252.37,78488,16964,68484
28.73,262.3,61501,14093,45166
31.59,99.43,142,16304,16387
43.91,109.87,2710,28278,30472
55.26,124.69,9552,39116,48070
64.11,148.57,15059,44456,59455
67.22,184.24,13931,45604,59577
62.53,217.84,12906,45390,57110
52.92,239.24,22631,40336,57572
41.29,252.81,36338,31677,53520
28.87,262.69,36207,23920,39375
31.84,99.1,73547,15302,54179
44.17,109.51,76219,18555,71404
55.55,124.32,77576,19064,85055
64.46,148.32,84018,19317,97366
67.57,184.46,90261,19496,102611
62.8,218.37,92867,18134,100347
53.12,239.76,91106,16331,89138
41.44,253.26,85118,14516,69878
29,263.08,75000,12099,48316
32.54,98.14,33666,23892,41178
44.93,108.43,55308,24160,65106
56.42,123.17,75610,20449,86704
65.48,147.53,84243,19148,98647
68.62,185.13,88350,19988,103053
63.6,219.98,89954,19596,99323
53.69,241.29,86618,18221,86302
41.9,254.57,76783,16970,68478
29.4,264.23,63376,14803,46538
32.77,97.82,73374,15450,54744
45.18,108.07,76216,19140,72596
56.7,122.78,75791,21272,87009
65.82,147.26,77059,23121,96899
68.96,185.36,79552,24893,99199
63.86,220.53,78951,26063,95149
53.88,241.8,72088,26994,83967
42.04,255,61086,26240,65710
29.53,264.6,50510,21710,45114
32.99,97.49,77181,14387,56274
45.42,107.71,82191,16812,75599
56.98,122.38,82149,18190,90314
66.15,146.97,84796,19044,100105
69.31,185.59,87202,20824,103600
64.11,221.07,81390,23391,96152
54.06,242.31,75281,22583,82431
42.19,255.43,72045,18824,67874
29.66,264.98,62166,15353,48471
33.22,97.17,77127,14387,56738
45.66,107.35,81606,16776,75616
57.25,121.98,82052,18051,89857
66.48,146.68,83056,19795,98723
69.64,185.82,82685,23003,100388
64.37,221.62,77074,26818,94370
54.24,242.81,67317,29587,82443
42.33,255.85,57840,28355,65532
29.79,265.35,51271,21197,45852
33.43,96.85,66258,18286,53476
45.89,106.98,71114,21329,72120
57.52,121.58,77033,19862,88271
66.8,146.38,81785,19974,98700
69.98,186.05,81623,23826,100652
64.61,222.17,73636,28034,93052
54.42,243.32,63892,28604,78434
42.47,256.28,55736,25327,61333
29.92,265.71,39792,20583,40123
34.06,95.9,22273,25729,37924
46.56,105.89,36091,29699,58131
58.29,120.35,53130,28633,78175
67.74,145.43,62678,28535,90120
70.96,186.75,64904,30942,93791
65.34,223.84,55942,34637,85329
54.93,244.82,38586,35179,66107
42.89,257.53,26152,29979,46699
30.3,266.79,18115,22470,30893
34.26,95.58,57384,20659,51334
46.77,105.52,67947,21005,71480
58.53,119.93,72216,20421,86432
68.05,145.1,70842,22980,93352
71.28,186.99,68416,26909,93618
65.57,224.39,66520,28447,88427
55.1,245.31,60306,27537,75638
43.02,257.94,45055,24877,54519
30.42,267.15,29024,19971,33279
34.45,95.26,66481,18308,55071
46.98,105.15,65923,21936,72134
58.78,119.51,65686,22287,85683
68.34,144.75,67159,24990,93318
71.6,187.22,65453,30538,94096
65.8,224.95,58116,34789,87762
55.26,245.8,45419,36427,73532
43.15,258.34,35808,33317,56938
30.54,267.5,28566,25978,40241
34.64,94.95,6389,26493,30161
47.18,104.79,7279,33961,39461
59.01,119.09,4939,33103,37510
68.64,144.4,1628,28053,29508
71.91,187.46,308,26110,26446
66.03,225.51,1361,24372,25510
55.42,246.29,3219,25828,28081
43.29,258.74,5305,29494,32498
30.66,267.84,7417,26157,29389
34.83,94.64,28582,25572,42752
47.38,104.42,40895,27932,61918
59.24,118.66,52089,28064,78628
68.93,144.04,51450,32291,84142
72.22,187.69,44598,37430,81568
66.25,226.07,39029,38250,75161
55.58,246.77,30981,35373,62198
43.42,259.14,23320,28537,44493
30.78,268.18,15995,18735,26621
35.36,93.7,41824,33611,63515
47.94,103.33,41987,38690,77169
59.9,117.37,43847,39122,85114
69.76,142.91,57944,32427,90983
73.12,188.39,75788,25391,95063
66.9,227.74,77185,23939,87204
56.04,248.2,58909,25888,65932
43.8,260.3,36441,23169,41776
31.14,269.17,18695,15680,22104
35.52,93.4,21994,38380,53625
48.12,102.97,13231,45425,57450
60.11,116.94,14170,49297,64310
70.03,142.51,20266,49077,71045
73.41,188.61,19213,46297,65945
67.1,228.29,9337,39187,47628
56.19,248.67,1894,26801,28205
43.92,260.68,183,15614,15797
31.26,269.5,244,7842,7900
35.69,93.09,27600,37539,60021
48.29,102.61,35912,36369,70022
60.31,116.5,41868,32488,77442
70.29,142.1,52367,29116,84509
73.7,188.84,58631,28290,83520
67.31,228.84,55303,27067,71905
56.34,249.13,49347,23348,55686
44.05,261.05,36213,19099,37228
31.38,269.81,21840,13608,19143
35.85,92.79,78180,19433,77291
48.46,102.25,72680,21839,87515
60.5,116.06,66693,22215,92248
70.55,141.69,67208,23566,94575
73.99,189.07,70658,25131,91863
67.51,229.39,65798,25328,79177
56.49,249.59,54561,23302,59932
44.17,261.42,38342,19342,38734
31.49,270.12,18930,13429,19473
36,92.49,81614,18308,79601
48.62,101.89,80316,19581,92451
60.69,115.63,75456,19646,98447
70.8,141.26,77332,19991,101310
74.27,189.29,83839,20390,99983
67.71,229.93,84628,19539,90102
56.63,250.04,76637,17928,72140
44.29,261.78,63073,15698,50324
31.61,270.43,47279,11208,27787
36.43,91.6,79987,18803,79524
49.08,100.83,74429,21292,89916
61.23,114.31,63730,24018,91596
71.51,139.94,61617,27654,91576
75.08,189.93,56351,31794,85415
68.28,231.54,38696,34429,67947
57.04,251.35,24379,32398,49807
44.64,262.83,15443,24252,33170
31.95,271.32,7219,13615,16520
